INFO  - 2016-06-14 17:08:39.405; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2016-06-14 17:08:39.526; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /root/mysite/solr-4.10.4/example/contexts at interval 0
INFO  - 2016-06-14 17:08:39.562; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /root/mysite/solr-4.10.4/example/contexts/solr-jetty-context.xml
INFO  - 2016-06-14 17:08:39.780; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/root/mysite/solr-4.10.4/example/webapps/solr.war!/ to /root/mysite/solr-4.10.4/example/solr-webapp/webapp
INFO  - 2016-06-14 17:08:47.025; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2016-06-14 17:08:47.382; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2016-06-14 17:08:47.447; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-06-14 17:08:47.449; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2016-06-14 17:08:47.452; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2016-06-14 17:08:48.043; org.apache.solr.core.ConfigSolr; Loading container configuration from /root/mysite/solr-4.10.4/example/solr/solr.xml
INFO  - 2016-06-14 17:08:48.462; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /root/mysite/solr-4.10.4/example/solr
INFO  - 2016-06-14 17:08:48.517; org.apache.solr.core.CoreContainer; New CoreContainer 23454823
INFO  - 2016-06-14 17:08:48.518; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2016-06-14 17:08:48.609; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2016-06-14 17:08:48.611; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2016-06-14 17:08:48.639; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2016-06-14 17:08:48.648; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2016-06-14 17:08:48.650; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2016-06-14 17:08:48.651; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2016-06-14 17:08:48.653; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2016-06-14 17:08:48.653; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2016-06-14 17:08:48.654; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2016-06-14 17:08:48.656; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2016-06-14 17:08:49.132; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2016-06-14 17:08:49.137; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2016-06-14 17:08:49.140; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2016-06-14 17:08:49.143; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2016-06-14 17:08:49.651; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /root/mysite/solr-4.10.4/example/solr
INFO  - 2016-06-14 17:08:49.854; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /root/mysite/solr-4.10.4/example/solr/collection1/
INFO  - 2016-06-14 17:08:49.855; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2016-06-14 17:08:49.859; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/root/mysite/solr-4.10.4/example/solr/collection1/'
INFO  - 2016-06-14 17:08:50.169; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2016-06-14 17:08:50.177; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
